                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.49446,                0.25348,                0.88277,                0.98931,                0.98434,                  0.995,                0.77334,                0.75261,                0.25912,                 1.0007,             0.00025951,             0.00025951,             0.00025951
                    127,                0.50065,                0.25766,                0.88453,                0.99292,                      1,                  0.995,                0.76653,                0.75399,                0.26056,                0.99774,             0.00025007,             0.00025007,             0.00025007
                    128,                0.49701,                0.25787,                0.88355,                0.97923,                0.99798,                  0.995,                0.77628,                0.75045,                0.25997,                 1.0074,             0.00024064,             0.00024064,             0.00024064
                    129,                0.48848,                0.25313,                0.88222,                0.99459,                      1,                  0.995,                0.77863,                 0.7543,                0.25301,                 1.0031,             0.00023121,             0.00023121,             0.00023121
                    130,                0.49204,                0.25205,                 0.8878,                0.99635,                      1,                  0.995,                0.76986,                0.75544,                0.25437,                 1.0095,             0.00022178,             0.00022178,             0.00022178
                    131,                0.49286,                0.25317,                0.88511,                0.99595,                      1,                  0.995,                0.76217,                0.75133,                0.25029,                 1.0055,             0.00021235,             0.00021235,             0.00021235
                    132,                0.48553,                0.24974,                0.87823,                 0.9945,                      1,                  0.995,                0.77426,                0.75478,                0.24709,                0.99909,             0.00020292,             0.00020292,             0.00020292
                    133,                0.48349,                0.24896,                0.88099,                0.99305,                      1,                  0.995,                0.76072,                0.76432,                0.25375,                 1.0064,             0.00019349,             0.00019349,             0.00019349
                    134,                0.48488,                0.24888,                0.88221,                0.99028,                      1,                  0.995,                0.76833,                0.75492,                0.25397,                 1.0051,             0.00018406,             0.00018406,             0.00018406
                    135,                0.47854,                 0.2454,                0.87977,                0.99297,                      1,                  0.995,                0.76207,                0.76256,                0.25249,                 1.0108,             0.00017462,             0.00017462,             0.00017462
                    136,                0.47939,                0.24604,                0.87913,                0.98168,                0.99821,                  0.995,                0.76654,                0.76642,                0.25658,                 1.0209,             0.00016519,             0.00016519,             0.00016519
                    137,                0.47959,                0.24963,                0.88686,                0.98307,                0.99823,                  0.995,                0.77122,                0.76516,                0.25749,                 1.0223,             0.00015576,             0.00015576,             0.00015576
                    138,                0.47168,                0.24722,                0.87428,                0.97813,                0.99821,                  0.995,                 0.7611,                0.76142,                0.25854,                 1.0143,             0.00014633,             0.00014633,             0.00014633
                    139,                0.46695,                0.24196,                0.87366,                0.97956,                0.99815,                  0.995,                0.77847,                0.76221,                0.25622,                 1.0079,              0.0001369,              0.0001369,              0.0001369
                    140,                0.46324,                0.24402,                 0.8719,                 0.9928,                      1,                  0.995,                0.76895,                0.75483,                0.25538,                  1.005,             0.00012747,             0.00012747,             0.00012747
                    141,                0.41648,                0.19845,                0.84771,                0.99399,                      1,                  0.995,                0.76902,                0.76262,                0.25674,                 1.0124,             0.00011804,             0.00011804,             0.00011804
                    142,                0.41256,                0.19766,                0.84059,                0.99714,                      1,                  0.995,                0.76423,                 0.7641,                0.25768,                 1.0111,              0.0001086,              0.0001086,              0.0001086
                    143,                0.41795,                0.19757,                0.84593,                0.99419,                      1,                  0.995,                0.77411,                0.75613,                0.25335,                 1.0073,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    144,                0.40654,                0.19185,                0.83962,                0.99496,                      1,                  0.995,                0.77759,                0.75618,                0.25158,                  1.009,             8.9741e-05,             8.9741e-05,             8.9741e-05
                    145,                0.40079,                0.19237,                0.84573,                0.99338,                      1,                  0.995,                0.78271,                0.75704,                0.25352,                 1.0114,              8.031e-05,              8.031e-05,              8.031e-05
                    146,                0.39722,                0.18985,                0.83583,                0.99343,                      1,                  0.995,                0.77063,                0.76154,                0.25458,                 1.0131,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    147,                0.39938,                0.19074,                0.83778,                0.99283,                      1,                  0.995,                0.77403,                0.76185,                0.25463,                 1.0144,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    148,                0.38995,                0.18897,                 0.8324,                0.99325,                      1,                  0.995,                0.76929,                 0.7608,                0.25549,                 1.0161,             5.2016e-05,             5.2016e-05,             5.2016e-05
                    149,                0.39778,                  0.189,                0.83932,                0.99067,                0.99949,                  0.995,                 0.7715,                0.75931,                0.25386,                 1.0171,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    150,                0.38559,                0.18643,                 0.8411,                0.99186,                      1,                  0.995,                0.77286,                0.75825,                0.25361,                 1.0108,             3.3153e-05,             3.3153e-05,             3.3153e-05
